"dv","ivs","cc","demog","inter"
"ispdepr","isdhandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex isdcc2*p1sex","isdhandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex isdcc2*p1sex"
"ispdepr","isdhandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl isdcc2*d1racewhbl","isdhandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl isdcc2*d1racewhbl"
"ispdepr","isdhandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1racewhbl isdcc2*p1racewhbl","isdhandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1racewhbl isdcc2*p1racewhbl"
"ispdepr","isdhandler ispcc2 d1sex p1sex d1racewhbl p1racewhbl","isdhandler ispcc2","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispdepr","isdhandler ispcc2 d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex","isdhandler ispcc2","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex"
"ispdepr","isdhandler ispcc2 d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex","isdhandler ispcc2","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex"
"ispdepr","isdhandler ispcc2 d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl","isdhandler ispcc2","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl"
"ispdepr","isdhandler ispcc2 d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1racewhbl","isdhandler ispcc2","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1racewhbl"
"ispdepr","isdhandler ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*d1sex","isdhandler ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*d1sex"
"ispdepr","isdhandler ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*p1sex","isdhandler ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*p1sex"
"ispdepr","isdhandler ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*d1racewhbl","isdhandler ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*d1racewhbl"
"ispdepr","isdhandler ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*p1racewhbl","isdhandler ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*p1racewhbl"
"ispdepr","isdhandler ispcc2 d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex ispcc2*d1sex","isdhandler ispcc2","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex ispcc2*d1sex"
"ispdepr","isdhandler ispcc2 d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex ispcc2*p1sex","isdhandler ispcc2","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex ispcc2*p1sex"
"ispdepr","isdhandler ispcc2 d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl ispcc2*d1racewhbl","isdhandler ispcc2","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl ispcc2*d1racewhbl"
"ispdepr","isdhandler ispcc2 d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1racewhbl ispcc2*p1racewhbl","isdhandler ispcc2","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1racewhbl ispcc2*p1racewhbl"
"ispdepr","isphandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl","isphandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispdepr","isphandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isphandler*d1sex","isphandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1sex"
"ispdepr","isphandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isphandler*p1sex","isphandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1sex"
"ispdepr","isphandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isphandler*d1racewhbl","isphandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1racewhbl"
